purpose,loan_count,total_volume,default_rate,avg_loan_amnt,avg_int_rate
SMALL_BUSINESS,15577,243477600.0,0.29864543878795663,15630.583552673814,15.929020350516788
RENEWABLE_ENERGY,936,9364050.0,0.23717948717948717,10004.326923076924,15.187136752136752
MOVING,9526,74816675.0,0.23399118202813354,7853.944467772412,15.146970396808735
HOUSE,7298,112067475.0,0.21910112359550563,15355.916004384762,15.409836941627844
MEDICAL,15614,140394975.0,0.21845779428717818,8991.608492378635,14.012429870628923
DEBT_CONSOLIDATION,781442,11897516075.0,0.21156656540088709,15225.078860619215,13.624180988480271
OTHER,78301,768334200.0,0.21082744792531385,9812.571997803348,14.58342039054418
EDUCATIONAL,423,2798600.0,0.20803782505910165,6616.075650118203,12.12014184397163
VACATION,9084,56226325.0,0.1919859092910612,6189.599845882871,13.698224350506385
MAJOR_PURCHASE,29550,349191875.0,0.1860575296108291,11816.983925549916,12.740785448392556
HOME_IMPROVEMENT,87721,1239737675.0,0.17756295527866758,14132.735319934793,12.795619406983505
CREDIT_CARD,295625,4376783300.0,0.1693260042283298,14805.1866384778,11.791468955602536
CAR,14652,129453450.0,0.14721539721539723,8835.206797706798,12.082465874965875
WEDDING,2350,24594750.0,0.12425531914893617,10465.851063829787,14.157136170212764
