addr_state,loan_count,total_volume,default_rate,avg_int_rate
MS,6595,92189700.0,0.26110689916603486,13.51826686884003
NE,3592,47936625.0,0.2522271714922049,13.49918986636971
AR,10062,135766675.0,0.24110514808189226,13.504410653945538
AL,16645,232157175.0,0.23634725142685492,13.727259837789125
OK,12298,175244725.0,0.2346723044397463,13.418118393234671
LA,15524,221187600.0,0.23177016232929656,13.352842695181653
NY,110097,1573629925.0,0.22050555419312062,13.379980108449821
NV,20296,279348550.0,0.21969846275128105,13.399076172644858
FL,95843,1315088975.0,0.21501831119643583,13.320311759857265
IN,21726,304796975.0,0.21430544048605357,13.387250759458713
IA,14,114075.0,0.21428571428571427,12.631428571428572
TN,20400,288355475.0,0.21411764705882352,13.492182843137254
NM,7377,105054550.0,0.21363697980208757,13.253784736342686
MO,21340,295959450.0,0.2134020618556701,13.213058575445173
MD,31298,473181775.0,0.21336826634289732,13.369000894625854
SD,2770,37409800.0,0.21335740072202167,13.381288808664259
NJ,48583,736470075.0,0.21118498240125147,13.143594673033778
KY,12871,175649900.0,0.2100846865045451,13.33944604148862
PA,45656,640293150.0,0.20829682845628175,13.328535132293673
NC,37826,536502725.0,0.20795220218897054,13.391176968222915
OH,43947,600753750.0,0.2052472296174938,13.262760142899403
ND,1602,23347600.0,0.20474406991260924,13.532996254681649
MI,35308,486833150.0,0.20307012575053812,13.347349042709867
HI,6765,102598475.0,0.20221729490022172,13.904314855875832
VA,38119,583328875.0,0.1994281067184344,13.259848107243108
TX,110354,1674941875.0,0.1984250684161879,13.154888449897603
MN,24004,335282500.0,0.19759206798866855,13.122939510081652
DE,3805,53838325.0,0.19737187910643889,13.37634691195795
AZ,32748,455137900.0,0.1965921582997435,13.095001832172956
AK,3195,52597000.0,0.19655712050078247,13.488892018779344
CA,196853,2887751525.0,0.1962987610044043,13.160588154612832
MA,31071,474754875.0,0.19072446976280133,12.768183193331401
ID,1692,22976050.0,0.1879432624113475,13.89844562647754
GA,43480,634086950.0,0.1842916283348666,13.30033808647654
WI,17788,244707000.0,0.18371936136721384,12.98871036653924
IL,51870,763135000.0,0.181203007518797,13.065865818392133
RI,5881,80045850.0,0.17888114266281244,13.121195374936235
CT,19791,288380850.0,0.17386690920115203,13.135116972361175
UT,10055,146462300.0,0.17076081551466932,13.302817503729486
MT,3834,51339800.0,0.1697965571205008,13.06581637976004
KS,11267,158139350.0,0.16756900683411732,13.122257033815568
WY,2926,43946000.0,0.1674641148325359,13.260317840054682
SC,16010,226924550.0,0.16289818863210492,13.362024984384758
WA,29235,431787125.0,0.15789293654865744,13.312992303745512
CO,29736,435170750.0,0.1553672316384181,13.044314635458703
WV,4888,68878050.0,0.15527823240589197,13.16582651391162
NH,6465,92603950.0,0.145707656612529,12.858682134570767
OR,16427,222349600.0,0.14427466975101966,13.082858099470384
VT,2655,35215925.0,0.13973634651600753,12.88404143126177
ME,2030,28334475.0,0.13842364532019705,12.864394088669952
DC,3485,52769700.0,0.13228120516499284,12.594619799139167
