issue_year,loan_count,total_volume,default_rate,avg_int_rate,avg_loan_amnt
2007,603,4977475.0,0.2620232172470978,11.825107794361525,8254.519071310116
2008,2393,21119250.0,0.20727120768909318,12.061964061847053,8825.428332636857
2009,5281,51928250.0,0.1369058890361674,12.437246733573188,9833.033516379473
2010,12537,131992550.0,0.14014517029592408,11.985267607880672,10528.240408391162
2011,21721,261683825.0,0.15178859168546568,12.223365406749227,12047.503567975691
2012,53367,718411025.0,0.1619727546985965,13.637787209324115,13461.709014934322
2013,134804,1982613000.0,0.15595976380522833,14.531627770689298,14707.375152072638
2014,223103,3253489500.0,0.1844977431948472,13.656289471678999,14582.90341232525
2015,375546,5498601150.0,0.20185010624530683,12.385206286313792,14641.618203895128
2016,293105,4240361600.0,0.23285853192541922,13.086687808123369,14467.039456849934
2017,169321,2421502475.0,0.23132984095298278,13.91835194689377,14301.253093237106
2018,56318,838076925.0,0.15756951596292482,13.430023260769204,14881.15566959054
